code,brand,name_hu,name_main,calorie,protein,fat,carb,image_url
24066563,Aldi,Vanília jégkrém,Vanília jégkrém,317.2,2.1,23.0,25.0,https://images.openfoodfacts.org/images/products/000/002/406/6563/front_hu.5.400.jpg
24067485,Pécsváradi Aranycipó,,Csökkentett szénhidrát tartalmú cipó,0.0,0.0,0.0,0.0,
24075695,"Milfina,Alföldi Tej",Gyümölcsös Krémjoghurt citromos,Gyümölcsös Krémjoghurt citromos,100.0,3.3,3.2,14.0,https://images.openfoodfacts.org/images/products/000/002/407/5695/front_hu.6.400.jpg
24097307,"Milfina,Aldi","Enjoy Free Tej 2,8%","Enjoy Free Tej 2,8%",55.7,3.0,2.8,4.6,https://images.openfoodfacts.org/images/products/000/002/409/7307/front_hu.3.400.jpg
24128520,Natur aktiv,,Bio Tojás,147.0,11.3,10.0,0.7,https://images.openfoodfacts.org/images/products/000/002/412/8520/front_en.4.400.jpg
24693943,Happy Harvest,,Mélange de noix,647.0,19.0,59.0,5.8,https://images.openfoodfacts.org/images/products/000/002/469/3943/front_fr.9.400.jpg
27043295,Kingsmill,,Champignons pieds et morceaux,18.0,2.1,0.5,0.5,https://images.openfoodfacts.org/images/products/000/002/704/3295/front_fr.20.400.jpg
27043486,King's Crown,,Asperges blanches pelées,17.0,1.8,0.5,1.6,https://images.openfoodfacts.org/images/products/000/002/704/3486/front_fr.3.400.jpg
28106340,Desira,,PREMIUM JOGHURT,126.4,2.6,2.6,22.1,https://images.openfoodfacts.org/images/products/000/002/810/6340/front_fr.3.400.jpg
2869447010304,"Mizo,Sole-Mizo",Bácskai gyúrt sajt,Bácskai gyúrt sajt,357.6,23.0,29.0,1.9,
3045140105502,Milka,,Chocolat au lait,539.0,6.5,31.0,57.0,https://images.openfoodfacts.org/images/products/304/514/010/5502/front_de.529.400.jpg
3046920028004,"Lindt & Sprüngli,Lindt",Excellence 70% Cocoa Intense Dark,EXTRA FINE DARK CHOCOLATE,566.0,9.5,41.0,35.0,https://images.openfoodfacts.org/images/products/304/692/002/8004/front_hu.229.400.jpg
3046920028363,Lindt Excellence,,Excellence 85% Cacao Rich Dark,578.0,12.5,46.0,22.0,https://images.openfoodfacts.org/images/products/304/692/002/8363/front_en.432.400.jpg
3046920028370,Lindt,,Lindt Excellence Dark Orange Intense,535.0,7.0,32.0,51.0,https://images.openfoodfacts.org/images/products/304/692/002/8370/front_hu.23.400.jpg
3073780839631,"Fromageries Bel,Kiri",,Топено сирене специалитет,301.6,8.5,29.0,2.5,https://images.openfoodfacts.org/images/products/307/378/083/9631/front_en.42.400.jpg
3077314990225,Beaufor,Magos mustár,Magos mustár,166.0,7.6,12.0,4.2,https://images.openfoodfacts.org/images/products/307/731/499/0225/front_hu.10.400.jpg
3083680002875,Bonduelle,Morzsolt csemegekukorica 340 g,Sweet Corn,112.0,3.0,1.3,20.5,https://images.openfoodfacts.org/images/products/308/368/000/2875/front_ru.33.400.jpg
3083680003629,"Bonduelle, Bonduelle restauration",Vapeur csicseriborsó 310 g,Csicseri Borso,119.0,6.0,2.2,15.0,https://images.openfoodfacts.org/images/products/308/368/000/3629/front_fr.29.400.jpg
3083680003865,Bonduelle,Créatif Duo 200 g,Erbsen u. Moehren,48.0,2.7,0.4,6.5,https://images.openfoodfacts.org/images/products/308/368/000/3865/front_de.7.400.jpg
3083680004244,Bonduelle,Zöldborsó 400 g,Zöldborsó,73.0,5.5,0.7,7.4,https://images.openfoodfacts.org/images/products/308/368/000/4244/front_hu.3.400.jpg
3083680004275,Bonduelle,Zöldborsó 800 g,Зелен грах,74.0,5.5,0.7,7.4,https://images.openfoodfacts.org/images/products/308/368/000/4275/front_hu.27.400.jpg
3083680055628,"Bonduelle,Bonduelle Food Service,Bonduelle restauration",Brokkoli,Brocoli fleurette,25.0,2.3,0.3,1.9,https://images.openfoodfacts.org/images/products/308/368/005/5628/front_fr.26.400.jpg
3083680090742,Bonduelle,Bon Menu Chili 430 g,Punased oad tšillikastmes,106.0,4.7,2.9,12.1,https://images.openfoodfacts.org/images/products/308/368/009/0742/front_hu.19.400.jpg
3083680483407,Bonduelle,Bon Menu Paradicsom,Bon Menu Mild tomato,86.0,3.9,0.5,14.0,https://images.openfoodfacts.org/images/products/308/368/048/3407/front_hu.6.400.jpg
3083681003963,Bonduelle,Vapeur lencse 310 g,Vapeur šošovka,106.0,8.5,0.7,14.0,https://images.openfoodfacts.org/images/products/308/368/100/3963/front_it.11.400.jpg
3083681043815,Bonduelle,Gold Chili 310 g,BON Goldmais mit Chili.,76.0,2.2,1.0,13.0,https://images.openfoodfacts.org/images/products/308/368/104/3815/front_de.40.400.jpg
3083681068146,"CONAXESS TRADE NORGE AS, Bonduelle",Csicseriborsó 2 x 80 g,Bunt dazu Kichererbsen,120.0,6.4,2.2,14.7,https://images.openfoodfacts.org/images/products/308/368/106/8146/front_en.35.400.jpg
3083681068184,CONAXESS TRADE NORGE AS,Gold csemegekukorica 2 x 85 g,Mini's crispy majs,80.0,2.9,1.9,11.0,https://images.openfoodfacts.org/images/products/308/368/106/8184/front_de.17.400.jpg
3596710335510,"Auchan, Auchan Tavola in Italia, Tavola in Italia",,Mozzarella di Bufala Campana A.O.P.,262.0,13.0,23.0,0.7,https://images.openfoodfacts.org/images/products/359/671/033/5510/front_fr.139.400.jpg
